X,Y,NumAgents
205942.2087,-494616.7882,5
175594.8385,-472136.0129,7
176712.0255,-469137.8748,4
176895.5346,-465221.8453,8
176677.1984,-464640.9095,5
176597.6725,-464642.5099,3
176615.1869,-464721.2448,6
176504.224,-464739.3386,3
176456.2262,-464724.4419,7
176455.2722,-464676.9865,2
176455.2722,-464676.9865,6
176344.0836,-464679.2211,5
176374.25,-464599.5277,4
176309.6948,-464553.3501,7
176434.0384,-464408.5385,6
175662.6556,-463996.8494,4
175645.4682,-463933.9676,2
175660.756,-463901.9378,4
175659.1737,-463822.8816,5
175658.5412,-463791.2813,6
175641.6693,-463744.1441,5
175593.9957,-463745.0981,5
175516.1514,-463825.743,5
175703.3671,-463648.0702,5
175831.4153,-463692.9807,5
175832.6815,-463756.1813,8
176093.0582,-463260.5699,5
176069.0185,-463253.1767,4
176005.1084,-463238.5966,7
175973.3586,-463239.2333,5
176327.7537,-458725.1939,5
191527.1435,-458813.5952,5
191510.5404,-458782.342,2
195815.8686,-456616.1355,6
195783.0833,-456569.3869,8
195814.1032,-456537.0776,6
166949.8888,-456422.8065,5
166822.5018,-456409.3679,6
171317.1136,-452324.4799,7
166831.7009,-450214.9332,4
166751.7043,-450184.839,5
175450.4484,-445466.3,2
180970.5761,-446206.6948,5
187957.9249,-450197.9523,3
187957.5871,-450182.2059,5
187972.3765,-450134.5168,7
190318.9641,-449278.0915,2
190334.1758,-449246.2533,6
190302.0398,-449231.0865,5
188320.5908,-448610.4608,4
187361.0615,-449010.1236,5
187393.4357,-449041.0498,8
187312.4556,-448963.7905,8
187328.0142,-448947.704,3
187591.5931,-448657.7186,3
187541.9719,-448563.9248,6
187422.7887,-448187.3828,6
188121.0718,-448188.2814,4
188088.698,-448157.3576,5
186607.2189,-446404.281,4
186637.2253,-446324.6488,6
186685.4779,-446355.2398,5
186381.1818,-446219.5994,4
186349.0662,-446204.5285,5
186300.1433,-446142.3304,5
179715.3669,-442253.7998,2
179731.5733,-442269.2217,5
180021.1337,-442468.5263,4
179971.9525,-442390.5425,5
180069.6635,-442514.7921,6
161819.1259,-438357.4046,5
161788.5406,-438421.0997,5
161786.7916,-438326.4932,5
161867.829,-438419.6335,5
166592.3331,-430160.6624,6
176932.7614,-426221.3924,7
173580.1877,-430371.5778,5
173563.6986,-430340.2817,4
173735.7072,-430226.5713,5
173656.4931,-430228.1451,5
173668.5978,-430038.718,7
173740.0911,-430447.183,5
173785.3903,-430335.8779,2
173818.9019,-430429.8603,8
173835.3898,-430461.045,7
173837.2709,-430555.6561,5
173790.7167,-430603.8503,7
174121.6776,-429730.1134,4
174138.4792,-429777.0479,5
174156.2243,-429871.3436,5
174094.4422,-429951.3559,5
174079.5223,-429998.922,5
174047.8928,-429999.5517,6
174176.7016,-430107.3918,5
174129.2107,-430108.3378,6
174050.7169,-430141.4134,7
174051.0305,-430157.1635,4
173987.0513,-430126.9243,4
173987.6781,-430158.4245,7
173958.2439,-430269.4152,5
174052.6004,-430236.0247,5
174053.8546,-430299.0249,4
173928.1823,-430348.9057,2
173992.6975,-430410.6472,6
173913.8872,-430427.9714,7
173931.631,-430522.267,5
173996.1475,-430584.0083,4
173933.1976,-430601.0171,7
173935.0797,-430695.628,7
173980.0644,-430568.5721,3
174025.3612,-430457.2659,4
174122.231,-430549.9858,5
174151.3505,-430423.2447,6
174182.9816,-430422.6146,4
174198.5294,-430406.5486,8
174245.3941,-430374.1021,2
174291.9424,-430325.7945,7
174341.007,-430403.7087,5
174247.5936,-430484.4632,7
174326.7178,-430482.8859,5
174233.1435,-429759.4055,6
174251.2036,-429869.4511,6
174202.7702,-429823.0362,4
174252.4593,-429932.4515,5
174254.0311,-430011.3129,4
174287.2305,-430089.4328,5
174271.9974,-430121.2491,3
174272.9392,-430168.4993,6
174289.4306,-430199.7941,3
174227.0195,-430248.307,2
174276.0809,-430326.1107,4
174245.0802,-430358.3521,4
174182.6678,-430406.8646,7
174167.5259,-430438.6788,2
174247.2775,-430468.6023,8
174138.0006,-430549.6717,7
174327.0318,-430498.636,4
175422.5864,-424723.0689,4
175439.7028,-424785.754,6
175408.5005,-424802.1376,5
175409.9894,-424880.8936,4
176940.9151,-426236.9843,6
176924.8344,-426221.5529,2
177072.2499,-424122.5302,3
177072.2499,-424122.5302,7
177044.0604,-424296.4319,4
177127.3719,-424499.5881,7
177019.4721,-424643.5903,5
177082.7844,-424642.3073,7
177115.6717,-424704.6697,4
177085.6575,-424784.0643,8
177119.1838,-424877.9281,5
177320.7299,-424668.9961,5
177103.6515,-424894.0002,7
179006.873,-428953.4722,5
179022.0868,-428921.6473,3
179180.3991,-428918.4037,4
179210.0874,-428823.255,2
179241.7126,-428822.6066,3
179287.9021,-428758.5217,4
179287.9021,-428758.5217,5
179302.4685,-428695.1961,8
179333.7701,-428678.7972,6
179364.8407,-428646.6463,8
179428.0899,-428645.3483,4
179440.3895,-428471.6607,6
179469.4241,-428344.8996,7
179688.475,-428214.345,7
179706.507,-428324.2718,3
179754.3122,-428339.0457,2
180811.8256,-428175.423,7
192677.327,-426294.0214,5
192701.7814,-427403.1628,2
192677.327,-426294.0214,5
192701.7814,-427403.1628,6
192701.7814,-427403.1628,6
192701.7814,-427403.1628,6
192677.327,-426294.0214,5
192701.7814,-427403.1628,6
192701.7814,-427403.1628,7
196439.0828,-429539.3098,3
196439.0828,-429539.3098,7
197361.1758,-429518.5416,5
197361.1758,-429518.5416,6
197361.1758,-429518.5416,7
198258.1108,-428388.5742,7
201049.5255,-429434.4963,5
194718.3254,-435125.9375,4
194743.0116,-436234.9781,4
201228.0646,-437197.8187,7
206713.0215,-434850.7192,2
206713.0215,-434850.7192,4
206713.0215,-434850.7192,3
206713.0215,-434850.7192,4
206713.0215,-434850.7192,7
206713.0215,-434850.7192,6
206713.0215,-434850.7192,5
206713.0215,-434850.7192,7
206739.2283,-435959.7249,7
206739.2283,-435959.7249,6
217812.3147,-435691.0455,8
205931.4278,-494644.6527,5
210172.0912,-494496.9032,5
211391.2169,-494102.8811,5
211253.193,-489014.4031,4
211302.3344,-489068.6743,3
211334.5581,-489083.7595,7
211509.0734,-489047.8498,6
211588.4394,-489030.0833,3
211749.654,-489105.501,5
211575.9004,-489173.115,6
211611.1734,-489314.9971,3
211881.6986,-489292.6303,4
212628.4309,-489179.4696,2
194310.1208,-483531.0256,7
194075.0486,-478655.7684,5
193293.791,-479338.4342,8
196845.3201,-477200.2444,6
194491.0073,-471551.9673,5
194646.5836,-471390.13,6
194636.0668,-470915.5204,4
196518.3587,-471126.8377,8
175640.3152,-472194.4422,5
176693.2219,-469165.8714,7
175954.4883,-463263.3493,6
176003.4007,-463278.1196,7
176113.7385,-463275.906,5
175521.0023,-463841.397,6
175668.1393,-464044.1035,6
175650.3194,-463949.6215,8
175664.8086,-463877.6977,5
175648.1025,-463838.8542,7
175631.5479,-463807.5726,6
175614.7687,-463760.4334,2
175614.7687,-463760.4334,4
176081.9886,-463276.5431,8
176018.0805,-463262.074,5
175953.5368,-463215.8931,6
176319.797,-458762.1822,4
168617.5206,-457285.32,5
168458.787,-457288.3705,5
168633.7358,-457300.871,8
166805.7286,-456403.1422,4
166949.5335,-456447.8832,5
171200.434,-446392.6791,3
166831.3441,-450239.9006,3
152073.1094,-451282.5262,5
143966.8872,-437491.954,5
143889.5143,-437603.6175,2
143812.9178,-437762.6411,5
143814.4727,-437857.2519,2
143862.2646,-437872.2205,5
143925.0625,-437839.6794,3
161788.6783,-438383.5967,5
161772.5111,-438368.1409,5
161773.9689,-438446.9981,6
161853.5487,-438461.2813,2
175468.5383,-445538.9383,7
180956.0466,-446232.6231,4
179716.3983,-442263.5421,5
179973.2179,-442416.1455,5
180022.7231,-442509.8772,3
180071.2553,-442556.2539,5
180972.2645,-446248.153,8
186398.1887,-446236.9887,2
186227.457,-446414.3604,3
186653.5618,-446310.5434,3
186607.6627,-446390.4034,3
187408.7821,-448237.0521,7
188090.2487,-448190.8292,5
188106.3906,-448206.3476,2
187543.4304,-448597.5093,7
187592.7123,-448675.4455,5
188321.1016,-448628.2007,7
187543.4304,-448597.5093,5
187608.2675,-448659.2476,5
188322.1424,-448643.9322,4
187313.33,-448965.7687,5
187362.1803,-449027.8505,6
187957.6915,-450152.5824,2
187959.0449,-450215.6789,7
190272.2441,-449281.1032,7
190303.6014,-449264.6683,4
187957.0136,-450120.9787,5
187974.6046,-450199.5915,4
191511.5675,-458863.3001,4
191527.4807,-458862.9526,4
195780.1495,-456587.2022,7
195814.1135,-456570.6909,6
199949.2852,-452604.9324,8
199934.5558,-452652.6404,8
199936.7183,-452747.446,5
200060.7727,-452618.1422,5
200218.7923,-452582.9158,6
200238.9332,-452772.1656,5
200408.0693,-452531.2181,8
200424.6632,-452561.1258,6
200503.655,-452544.7859,6
200567.8926,-452574.9346,4
200664.205,-452620.2133,3
200426.8589,-452657.151,7
169118.3415,-427715.8693,4
169198.4475,-427761.5886,4
169182.8956,-427777.6461,5
169046.5646,-427275.8523,3
169032.2318,-427354.9124,8
170957.0234,-422164.48,8
170989.2413,-422195.3642,4
171052.5359,-422194.125,5
175431.8812,-424781.9163,5
175417.7053,-424861.0977,6
175419.2864,-424939.8517,5
177096.0364,-424118.0532,4
177037.2882,-424339.8463,6
177009.0971,-424513.7476,6
177135.4007,-424495.4306,3
177077.8374,-424780.3389,7
177096.562,-424921.7745,2
177092.7288,-424732.6545,5
177329.3981,-424696.3399,2
167715.9361,-426430.6575,5
178158.6112,-426555.0151,6
182350.0458,-436261.5016,3
174247.031,-430097.0337,4
173946.3449,-429784.0463,5
173710.5006,-430323.9245,5
173963.4091,-430642.6106,5
174014.183,-430393.4613,4
173858.2267,-429714.8056,4
174149.1334,-430456.4436,7
173718.7851,-430583.0136,7
173692.5586,-430154.5014,4
174069.1097,-430640.8131,6
174080.2121,-430241.5978,2
174341.8065,-430472.0228,5
174274.677,-429718.8482,7
173966.3446,-430618.5871,3
174031.7063,-430278.2592,4
173999.0701,-430003.0834,8
174248.4081,-430634.5841,4
173904.8032,-430103.9309,6
173886.036,-429877.8901,5
174019.0401,-429960.7907,6
174224.2396,-430294.4485,6
173984.7138,-429786.0391,5
173794.9651,-429913.9722,5
174132.2983,-429903.0145,3
174342.0892,-430605.1088,6
174314.8484,-430108.7485,7
174046.3504,-430194.5536,5
174087.3376,-430358.5329,8
173784.2852,-429870.9477,8
174137.6777,-429885.9382,5
174065.2119,-430270.7992,5
173797.2959,-430335.6568,4
173720.786,-430116.3396,4
174101.2665,-430504.3928,5
173731.0211,-430401.618,3
174303.0639,-430125.2124,5
173893.1081,-430219.5452,6
173705.1575,-430387.9213,7
174024.417,-430071.4896,4
173673.599,-429983.9787,5
173848.6089,-429827.7159,4
173905.2791,-430190.4691,5
174258.6838,-430485.4405,5
173996.3211,-430313.1946,6
174192.5819,-430536.3523,6
173733.9963,-430498.4188,4
174124.7721,-429871.1246,8
174243.7335,-430588.4294,7
173926.6408,-430529.7307,2
180623.189,-426327.1015,3
180654.8052,-426326.448,6
180403.0746,-427167.1046,3
179944.1805,-427176.5647,5
179914.0902,-427255.969,5
180820.1509,-428198.8861,5
181151.2067,-428128.893,7
181640.2292,-428039.96,5
179696.7973,-428237.8091,6
179698.74,-428332.3099,4
179666.7928,-428317.2098,5
179493.0492,-428336.5361,6
179432.2988,-428463.9484,5
179420.4145,-428653.3842,3
179311.2054,-428734.4086,5
179310.8823,-428718.6585,4
179217.853,-428815.1065,7
179235.6516,-428909.3927,5
179220.4385,-428941.2179,5
179030.5001,-428945.11,5
178965.5443,-428867.6567,7
178862.4862,-430020.6623,3
192965.0865,-426788.3618,7
193013.6029,-426834.5629,2
192921.0927,-426947.0187,2
193000.5327,-426961.0222,6
193036.2219,-427858.7382,8
193005.9937,-427922.546,4
194416.0456,-435555.9705,4
194703.0158,-436590.9345,5
200943.5552,-437096.7269,7
202370.3243,-437789.7385,3
196230.3411,-429080.4915,5
196864.2187,-429097.7541,5
196910.6398,-429049.4367,4
197004.9003,-429015.7984,5
197417.8287,-429069.512,5
198125.1076,-428832.7969,5
201412.4062,-429924.4974,7
206361.2575,-434935.2562,5
206740.9301,-434910.5345,8
206679.8706,-435006.6288,3
206779.0056,-435177.8319,8
206797.3921,-435287.8052,5
206781.9862,-435303.9261,5
206737.8217,-435447.0019,4
206855.6049,-436406.7017,4
217840.7545,-436117.5529,4
217685.4214,-436246.4765,3
216637.7466,-438103.1541,5
216825.9276,-438019.4881,3
